"","comparison","Orthogroup","Protein_ofav","Protein_ssid","lpv_ssid","lpv_ofav","annot_ofav","annot_ssid","KOG_ofav","KOG_ssid","rel_class","abs_ofav","abs_ssid","delta_log10p","p_ofav","p_ssid","p_ratio","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","site"
"MacArthur North vs Emerald Reef.37","MacN_Emerald","OG0003815","Ofaveolata028767","Ssiderea027809",-6.25166057816356,1.12552671075315,"PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides","PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",1.12552671075315,6.25166057816356,5.12613386741041,0.074898529166601,5.6019524973839e-07,133700.757372681,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.38","MacN_Emerald","OG0004206","Ofaveolata015422","Ssiderea038170",-1.00520424257302,2.12194818752202,"Amine oxidase flavin-containing","Amine oxidase flavin-containing","Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism","Inverse",2.12194818752202,1.00520424257302,1.116743944949,0.00755182317535079,0.0988088301372607,13.0841027183705,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.39","MacN_Emerald","OG0004321","Ofaveolata024708","Ssiderea016963",1.02885560164515,-1.88816957402351,"dCMP deaminase activity","Cytidine and deoxycytidylate deaminase zinc-binding region","Nucleotide transport and metabolism","Nucleotide transport and metabolism","Inverse",1.88816957402351,1.02885560164515,0.85931397237836,0.0129369061017179,0.0935716738421757,7.23292517596231,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.40","MacN_Emerald","OG0004343","Ofaveolata019429","Ssiderea055932",1.20855970988107,-1.74217187647667,"negative regulation of skeletal muscle tissue growth","It is involved in the biological process described with receptor-mediated endocytosis","Posttranslational modification, protein turnover, chaperones","Signal transduction mechanisms","Inverse",1.74217187647667,1.20855970988107,0.5336121665956,0.018106233781116,0.0618643266248443,3.41674184552759,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.41","MacN_Emerald","OG0004604","Ofaveolata013633","Ssiderea044691",-1.94503248247656,2.39344143002552,NA,"Required for formation of the RNA induced silencing complex (RISC). Component of the RISC loading complex (RLC), also known as the micro-RNA (miRNA) loading complex (miRLC), which is composed of dicer1, ago2 and tarbp2. Within the RLC miRLC, dicer1 and tarbp2 are required to process precursor miRNAs (pre-miRNAs) to mature miRNAs and then load them onto ago2. ago2 bound to the mature miRNA constitutes the minimal RISC and may subsequently dissociate from dicer1 and tarbp2. May also play a role in the production of short interfering RNAs (siRNAs) from double-stranded RNA (dsRNA) by dicer1",NA,"","Inverse",2.39344143002552,1.94503248247656,0.44840894754896,0.00404164877463427,0.0113492592722671,2.80807658089837,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.42","MacN_Emerald","OG0004667","Ofaveolata023648","Ssiderea015610",1.86880529227889,-2.81597491525695,"histone H4-K20 monomethylation","histone H4-K20 monomethylation","Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis","Inverse",2.81597491525695,1.86880529227889,0.94716962297806,0.00152765429262814,0.0135267887527269,8.85461378140451,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.43","MacN_Emerald","OG0004781","Ofaveolata025449","Ssiderea039819",-2.30564137546409,3.29364878597348,"BolA-like protein","bolA-like protein","Signal transduction mechanisms","Signal transduction mechanisms","Inverse",3.29364878597348,2.30564137546409,0.98800741050939,0.000508570557406121,0.00494719039292947,9.72763822223958,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.44","MacN_Emerald","OG0004882","Ofaveolata023529","Ssiderea015692",1.34905183084541,-8.21521511349034,"lipopolysaccharide-induced transcription factor regulating tumor necrosis factor alpha","lipopolysaccharide-induced transcription factor regulating tumor necrosis factor alpha",NA,"Function Unknown","Inverse",8.21521511349034,1.34905183084541,6.86616328264493,6.09235057941293e-09,0.0447659875050832,7347900.76860562,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.45","MacN_Emerald","OG0004891","Ofaveolata033244","Ssiderea026218",1.29614229085065,-1.12284693566871,"-","-","","","Inverse",1.12284693566871,1.29614229085065,0.17329535518194,0.0753621125911564,0.0505658962379884,1.49037430754643,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.46","MacN_Emerald","OG0005239","Ofaveolata013693","Ssiderea049246",-1.2855370831512,2.8679073352432,"polycystic kidney disease protein 1-like","polycystic kidney disease protein 1-like","","","Inverse",2.8679073352432,1.2855370831512,1.582370252092,0.00135547859791688,0.0518158846031254,38.2270031284573,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.47","MacN_Emerald","OG0005250","Ofaveolata029294","Ssiderea033145",1.27864083814272,-3.71889475699177,"Belongs to the oxygen-dependent FAD-linked oxidoreductase family","PFAM FAD linked oxidase domain protein","Energy production and conversion","Energy production and conversion","Inverse",3.71889475699177,1.27864083814272,2.44025391884905,0.000191031613126359,0.0526452462987649,275.583948840668,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.48","MacN_Emerald","OG0005460","Ofaveolata023693","Ssiderea050051",-2.62695450010275,2.66713217110294,"regulation of ATP citrate synthase activity","Nipsnap homolog 1","Translation, ribosomal structure and biogenesis","Function Unknown","Inverse",2.66713217110294,2.62695450010275,0.04017767100019,0.00215212666712526,0.00236072554726775,1.09692685998874,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.49","MacN_Emerald","OG0005466","Ofaveolata028383","Ssiderea042579",-1.28953637310981,1.9187599669576,"NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 9","NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 9","Energy production and conversion","Energy production and conversion","Inverse",1.9187599669576,1.28953637310981,0.62922359384779,0.0120570214361189,0.0513409176564288,4.25817586279047,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.50","MacN_Emerald","OG0005663","Ofaveolata015121","Ssiderea051210",1.1082754024382,-1.39508761363717,"Transcription factor","Transcription factor","Transcription","Transcription","Inverse",1.39508761363717,1.1082754024382,0.28681221119897,0.0402635799249197,0.0779335747732083,1.935584836682,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
