"","V1","V2","V3","V4"
"100","OG0004075","L-gulonolactone oxidase-like / L-gulonolactone oxidase-like","-2.52777154146956","-5.31062486992923"
"101","OG0004083","PEST proteolytic signal containing nuclear protein / PEST proteolytic signal containing nuclear protein","2.41858619403509","1.79634345481316"
"102","OG0004128","Dolichol-phosphate mannosyltransferase / dolichyl-phosphate beta-D-mannosyltransferase activity","-1.32704226673667","1.26613118479929"
"103","OG0004157","lens induction in camera-type eye / lens induction in camera-type eye","-3.34746542410415","-2.23622619812313"
"104","OG0004163","neurogenic locus notch homolog protein / neurogenic locus notch homolog protein","-2.43669924248203","-2.82250508961442"
"105","OG0004183","calcium, potassium:sodium antiporter activity / calcium, potassium:sodium antiporter activity","-2.30496189746919","-5.21187147919124"
"106","OG0004188","Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family / Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family","-1.76561892104227","-2.06588563152681"
"107","OG0004196","Calcium ion binding. It is involved in the biological process described with protein folding / Calcium ion binding. It is involved in the biological process described with protein folding","-3.42787671367513","-3.33464118009517"
"108","OG0004217","Nucleolysin TIA-1 isoform / TIA1 cytotoxic granule-associated RNA binding protein-like 1","-1.72841655012334","-5.13031214621904"
"109","OG0004218","otolith formation / otolith formation","-1.54889288983116","1.24733803235793"
"110","OG0004267","bromo domain / protein KIAA2026 homolog","1.0278125389988","-1.26770105148963"
"111","OG0004273","structural constituent of cuticle / NA","-1.30492406072956","-3.52558845514049"
"112","OG0004300","adenosine kinase activity / adenosine kinase activity","-13.4373458293852","-3.34609903545214"
"113","OG0004309","Peptidyl-prolyl cis-trans isomerase / Peptidyl-prolyl cis-trans isomerase","-1.08497731832399","2.83191213222465"
"114","OG0004325","sphingolipid delta-4 desaturase activity / sphingolipid delta-4 desaturase activity","-1.71645654022123","-2.31292633572463"
"115","OG0004341","Activating molecule in BECN1-regulated autophagy protein / Activating molecule in BECN1-regulated autophagy protein","-1.64565270979945","-3.54263031255331"
"116","OG0004351","actin filament severing / actin filament severing","-1.78813738052365","-3.21192190611475"
"117","OG0004354","regulation of BMP signaling pathway / NA","-2.47034624136784","-7.26026840522642"
"118","OG0004404","frizzled-related protein / Belongs to the G-protein coupled receptor Fz Smo family","2.83270097968473","3.00330961457837"
"119","OG0004430","GPCR-Autoproteolysis INducing (GAIN) domain / GPCR-Autoproteolysis INducing (GAIN) domain","-2.17132132019275","-20.767532525099"
"120","OG0004437","abducens nerve formation / abducens nerve formation","4.4308389569009","13.0857558363113"
"121","OG0004469","Nucleoporin / Nucleoporin","-2.45733589074768","-2.81511658078686"
"122","OG0004489","protein phosphatase inhibitor activity / protein phosphatase inhibitor activity","1.55633608625428","1.61128670077047"
"123","OG0004514","condensed mesenchymal cell proliferation / NA","1.89862912199402","-1.19952268269126"
"124","OG0004522","ubiquitin binding / NA","-3.68826058860689","-7.04096421561749"
"125","OG0004546","Hemicentin 1 / NA","3.66664445021318","2.11432717714772"
"126","OG0004583","GPI anchor biosynthetic process / NA","-1.28184478608356","-4.55689963676165"
"127","OG0004608","Rootletin / ciliary basal body organization","-3.34675626862647","-3.27603621152495"
"128","OG0004628","glycerol ether metabolic process / glycerol ether metabolic process","-3.11482425464582","-1.04131392798083"
"129","OG0004650","ATPase activity, coupled to transmembrane movement of substances / ATPase activity, coupled to transmembrane movement of substances","-13.4972205051583","-5.91743250001321"
"130","OG0004661","ATP-dependent chromatin remodeling / ATP-dependent chromatin remodeling","-4.25398275692918","-4.83812843972894"
"131","OG0004673","hydrolase activity, acting on ester bonds / hydrolase activity, acting on ester bonds","-1.32704226673667","2.55462881527592"
"132","OG0004710","cyclin-dependent protein serine/threonine kinase activity / cyclin-dependent protein serine/threonine kinase activity","1.8038557131054","1.05359389067763"
"133","OG0004717","formation of cytoplasmic translation initiation complex / formation of cytoplasmic translation initiation complex","-1.99425344468957","-3.96815085948455"
"134","OG0004729","Lysine methyltransferase / methyltransferase activity","-1.30046425459669","2.27169514299975"
"135","OG0004739","calcium ion binding / calcium ion binding","-3.70233631828111","-6.28584443389347"
"136","OG0004762","actin filament polymerization / actin filament polymerization","-1.01955058934131","-1.79825153557941"
"137","OG0004782","O-methyltransferase activity / O-methyltransferase activity","-3.07137844955863","3.3736989809497"
"138","OG0004784","Putative Interleukin 2 receptor, gamma chain / Putative Interleukin 2 receptor, gamma chain","-2.32187758226709","-1.25323623984163"
"139","OG0004805","cellular response to glucose starvation / cellular response to glucose starvation","-1.45284332096072","-1.94288857613038"
