site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,time,file,AOI,FvFm,ratio
Emerald,Ofav,5,2,Eo5-2,6,control pH,high temp,CH,Initial,CH_Ofav_EMRL,5,0.592,1.000
MacN,Ofav,6,2,CR046,6,control pH,high temp,CH,Initial,CH_Ofav_MACN_2,6,0.606,1.000
MacN,Ofav,1,2,Mo1-2,6,control pH,high temp,CH,Initial,CH_Ofav_MACN_2,1,0.555,1.000
MacN,Ofav,2,2,Mo2-2,6,control pH,high temp,CH,Initial,CH_Ofav_MACN_2,2,0.526,1.000
MacN,Ofav,3,2,Mo3-2,6,control pH,high temp,CH,Initial,CH_Ofav_MACN_2,3,0.62,1.000
MacN,Ofav,4,2,Mo4-2,6,control pH,high temp,CH,Initial,CH_Ofav_MACN_2,4,0.563,1.000
MacN,Ofav,5,2,Mo5-2,6,control pH,high temp,CH,Initial,CH_Ofav_MACN_2,5,0.586,1.000
Rainbow,Ofav,1,2,Ro1-2,6,control pH,high temp,CH,Initial,CH_Ofav_RAIN,1,0.573,1.000
Rainbow,Ofav,2,2,Ro2-2,6,control pH,high temp,CH,Initial,CH_Ofav_RAIN,2,0.55,1.000
Rainbow,Ofav,3,2,Ro3-2,6,control pH,high temp,CH,Initial,CH_Ofav_RAIN,3,0.588,1.000
Rainbow,Ofav,4,2,Ro4-2,6,control pH,high temp,CH,Initial,CH_Ofav_RAIN,4,0.615,1.000
Rainbow,Ofav,5,2,Ro5-2,6,control pH,high temp,CH,Initial,CH_Ofav_RAIN,5,0.562,1.000
Star,Ofav,1,2,So1-2,6,control pH,high temp,CH,Initial,CH_Ofav_STAR,1,0.574,1.000
Star,Ofav,2,2,So2-2,6,control pH,high temp,CH,Initial,CH_Ofav_STAR,2,0.613,1.000
Star,Ofav,3,2,So3-2,6,control pH,high temp,CH,Initial,CH_Ofav_STAR,3,0.624,1.000
Star,Ofav,4,2,So4-2,6,control pH,high temp,CH,Initial,CH_Ofav_STAR,4,0.581,1.000
Star,Ofav,5,2,So5-2,6,control pH,high temp,CH,Initial,CH_Ofav_STAR,5,0.616,1.000
Emerald,Ssid,1,3,Es1-3,7,low pH,control temp,LC,Initial,LC_Ssid_EMRL,1,0.498,1.000
Emerald,Ssid,2,3,Es2-3,7,low pH,control temp,LC,Initial,LC_Ssid_EMRL,2,0.489,1.000
Emerald,Ssid,3,3,Es3-3,7,low pH,control temp,LC,Initial,LC_Ssid_EMRL,3,0.538,1.000
Emerald,Ssid,4,3,Es4-3,7,low pH,control temp,LC,Initial,LC_Ssid_EMRL,4,0.54,1.000
Emerald,Ssid,5,3,Es5-3,7,low pH,control temp,LC,Initial,LC_Ssid_EMRL,5,0.564,1.000
MacN,Ssid,1,3,Ms1-3,7,low pH,control temp,LC,Initial,LC_Ssid_MACN,1,0.543,1.000
MacN,Ssid,2,3,Ms2-3,7,low pH,control temp,LC,Initial,LC_Ssid_MACN,2,0.491,1.000
MacN,Ssid,3,3,Ms3-3,7,low pH,control temp,LC,Initial,LC_Ssid_MACN,3,0.513,1.000
MacN,Ssid,4,3,Ms4-3,7,low pH,control temp,LC,Initial,LC_Ssid_MACN,4,0.445,1.000
MacN,Ssid,5,3,Ms5-3,7,low pH,control temp,LC,Initial,LC_Ssid_MACN,5,0.517,1.000
Rainbow,Ssid,1,3,Rs1-3,7,low pH,control temp,LC,Initial,LC_Ssid_RAIN,1,0.506,1.000
Rainbow,Ssid,2,3,Rs2-3,7,low pH,control temp,LC,Initial,LC_Ssid_RAIN,2,0.533,1.000
Rainbow,Ssid,3,3,Rs3-3,7,low pH,control temp,LC,Initial,LC_Ssid_RAIN_3-3,1,0.357,1.000
Rainbow,Ssid,4,3,Rs4-3,7,low pH,control temp,LC,Initial,LC_Ssid_RAIN,3,0.528,1.000
Rainbow,Ssid,5,3,Rs5-3,7,low pH,control temp,LC,Initial,LC_Ssid_RAIN,4,0.549,1.000
Star,Ssid,1,3,Ss1-3,7,low pH,control temp,LC,Initial,LC_Ssid_STAR,1,0.506,1.000
Star,Ssid,2,3,Ss2-3,7,low pH,control temp,LC,Initial,LC_Ssid_STAR,2,0.519,1.000
Star,Ssid,3,3,Ss3-3,7,low pH,control temp,LC,Initial,LC_Ssid_STAR,3,0.506,1.000
Star,Ssid,4,3,Ss4-3,7,low pH,control temp,LC,Initial,LC_Ssid_STAR,4,0.5,1.000
