site,species,geno,rep,sample,tank,pH,temp,treat,ramp,start,end,days,status
Star,Ofav,5,3,So5-3,4,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Emerald,Ssid,1,3,Es1-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Emerald,Ssid,2,3,Es2-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Emerald,Ssid,3,3,Es3-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Emerald,Ssid,4,3,Es4-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Emerald,Ssid,5,3,Es5-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
MacN,Ssid,1,3,Ms1-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
MacN,Ssid,2,3,Ms2-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
MacN,Ssid,3,3,Ms3-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
MacN,Ssid,4,3,Ms4-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
MacN,Ssid,5,3,Ms5-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Rainbow,Ssid,1,3,Rs1-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Rainbow,Ssid,2,3,Rs2-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Rainbow,Ssid,3,3,Rs3-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Rainbow,Ssid,4,3,Rs4-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Rainbow,Ssid,5,3,Rs5-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Star,Ssid,1,3,Ss1-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Star,Ssid,2,3,Ss2-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Star,Ssid,3,3,Ss3-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Star,Ssid,4,3,Ss4-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Star,Ssid,5,3,Ss5-3,7,low,control,LC,4/5/21,4/19/21,5/6/21,17,0
Emerald,Ofav,2,4,Eo2-4,8,low,high,LH,4/5/21,4/19/21,5/3/21,14,1
Emerald,Ofav,4,4,Eo4-4,8,low,high,LH,4/5/21,4/19/21,5/10/21,21,1
Emerald,Ofav,5,4,Eo5-4,8,low,high,LH,4/5/21,4/19/21,4/26/21,7,1
MacN,Ofav,6,4,CR049,8,low,high,LH,4/5/21,4/19/21,5/14/21,25,1
MacN,Ofav,4,4,Mo4-4,8,low,high,LH,4/5/21,4/19/21,5/13/21,24,1
MacN,Ofav,5,4,Mo5-4,8,low,high,LH,4/5/21,4/19/21,5/14/21,25,1
Rainbow,Ofav,5,4,Ro5-4,8,low,high,LH,4/5/21,4/19/21,5/14/21,25,1
Star,Ofav,5,4,So5-4,8,low,high,LH,4/5/21,4/19/21,5/14/21,25,1
Emerald,Ofav,4,3,Eo4-3,4,low,high,LH,4/23/21,5/7/21,5/24/21,17,1
Emerald,Ofav,5,3,Eo5-3,4,low,high,LH,4/23/21,5/7/21,5/17/21,10,1
MacN,Ofav,6,3,CR047,4,low,high,LH,4/23/21,5/7/21,6/3/21,27,1
MacN,Ofav,1,3,Mo1-3,4,low,high,LH,4/23/21,5/7/21,6/3/21,27,1
MacN,Ofav,4,3,Mo4-3,4,low,high,LH,4/23/21,5/7/21,6/3/21,27,1
Rainbow,Ofav,5,3,Ro5-3,4,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
Star,Ofav,2,3,So2-3,4,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
Star,Ofav,3,3,So3-3,4,low,high,LH,4/23/21,5/7/21,6/1/21,25,1
Star,Ofav,4,3,So4-3,4,low,high,LH,4/23/21,5/7/21,6/3/21,27,1
Star,Ofav,5,3,So5-3,4,low,high,LH,4/23/21,5/7/21,6/3/21,27,1
Emerald,Ssid,1,4,Es1-4,2,low,high,LH,4/5/21,4/19/21,4/30/21,11,1
Emerald,Ssid,2,4,Es2-4,2,low,high,LH,4/5/21,4/19/21,5/5/21,16,1
Emerald,Ssid,3,4,Es3-4,2,low,high,LH,4/5/21,4/19/21,4/30/21,11,1
Emerald,Ssid,4,4,Es4-4,2,low,high,LH,4/5/21,4/19/21,5/10/21,21,1
Emerald,Ssid,5,4,Es5-4,2,low,high,LH,4/5/21,4/19/21,4/30/21,11,1
MacN,Ssid,1,4,Ms1-4,2,low,high,LH,4/5/21,4/19/21,4/30/21,11,1
MacN,Ssid,2,4,Ms2-4,2,low,high,LH,4/5/21,4/19/21,5/5/21,16,1
MacN,Ssid,3,4,Ms3-4,2,low,high,LH,4/5/21,4/19/21,5/10/21,21,1
