site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,bw1,temp1,salinity1,density1,mass1,bw2,temp2,salinity2,density2,mass2,deltamonth,deltayear,percentmonth,percentyear,surfacearea,growth,growthadj
Rainbow,Ssid,28,4,Rs2-4,2,low pH,high temp,low pH-high temp,22.447,22.87,33.44305,1022.819123,34.48530279,22.6583,22.84,35.23362,1024.185643,34.8348824,0.349579611,4.194955337,1.013706081,12.16447297,11.401,0.367946262,0.342677943
Rainbow,Ssid,29,4,Rs3-4,2,low pH,high temp,low pH-high temp,23.67,22.87,33.44305,1022.819123,36.36419642,23.8055,22.84,35.23362,1024.185643,36.59858828,0.234391868,2.812702417,0.64456771,7.734812518,11.553,0.243460782,0.218192463
Rainbow,Ssid,30,4,Rs4-4,2,low pH,high temp,low pH-high temp,24.8127,22.87,33.44305,1022.819123,38.11972524,25.0838,22.84,35.23362,1024.185643,38.56384738,0.444122141,5.329465687,1.165071726,13.98086071,9.88,0.539419604,0.514151285
Rainbow,Ssid,31,4,Rs5-4,2,low pH,high temp,low pH-high temp,20.2963,22.87,33.44305,1022.819123,31.18118461,20.5287,22.83,35.23362,1024.188515,31.5608818,0.379697185,4.556366225,1.217712509,14.61255011,14.473,0.314818367,0.289550048
Star,Ssid,32,4,Ss1-4,2,low pH,high temp,low pH-high temp,19.3464,22.88,33.44305,1022.816273,29.72180981,19.5071,22.84,35.23362,1024.185643,29.99022585,0.268416045,3.220992545,0.903094553,10.83713463,10.893,0.295693798,0.270425479
Star,Ssid,33,4,Ss2-4,2,low pH,high temp,low pH-high temp,17.4934,22.88,33.44305,1022.816273,26.87505209,17.7178,22.84,35.23362,1024.185643,27.23935509,0.364303,4.371636005,1.355543421,16.26652105,13.851,0.3156188,0.290350481
Star,Ssid,34,4,Ss3-4,2,low pH,high temp,low pH-high temp,18.7429,22.88,33.44305,1022.816273,28.79465477,19.0871,22.84,35.23362,1024.185643,29.34451763,0.549862861,6.598354331,1.909600463,22.91520556,11.865,0.556119202,0.530850883
Star,Ssid,35,4,Ss4-4,2,low pH,high temp,low pH-high temp,18.0251,22.88,33.44305,1022.816273,27.69190102,18.0715,22.85,35.23362,1024.18277,27.78309177,0.091190748,1.094288982,0.329304761,3.951657132,8.2863,0.132060025,0.106791705
Star,Ssid,36,4,Ss5-4,2,low pH,high temp,low pH-high temp,14.8532,22.88,33.44305,1022.816273,22.81892163,15.1114,22.85,35.23362,1024.18277,23.23223933,0.413317697,4.959812361,1.81129373,21.73552476,8.2837,0.5987436,0.573475281
control,control,,control,A126,3,control pH,control temp,control pH-control temp,20.5375,22.72,33.55391,1022.945837,31.55383637,20.5631,23.11,35.300455,1024.158481,31.61327026,0.05943389,0.713206674,0.188357095,2.260285139,9.2552,0.077060104,0.085084954
Emerald,Ssid,22,1,Es1-1,3,control pH,control temp,control pH-control temp,21.8539,22.72,33.55391,1022.945837,33.5763547,21.9796,23.12,35.300455,1024.155586,33.79091573,0.214561035,2.574732414,0.639024208,7.66829049,11.027,0.233493463,0.241518313
Emerald,Ssid,23,1,Es2-1,3,control pH,control temp,control pH-control temp,22.8611,22.73,33.55391,1022.942997,35.12376553,23.0791,23.11,35.300455,1024.158481,35.48131486,0.357549336,4.290592034,1.01796983,12.21563796,10.796,0.397424234,0.405449085
Emerald,Ssid,24,1,Es3-1,3,control pH,control temp,control pH-control temp,25.468,22.73,33.55391,1022.942997,39.12900343,25.6805,23.13,35.300455,1024.15269,39.48053162,0.351528185,4.218338214,0.898382667,10.780592,13.451,0.313607777,0.321632628
Emerald,Ssid,25,1,Es4-1,3,control pH,control temp,control pH-control temp,24.2074,22.74,33.55391,1022.940157,37.19216377,24.4242,23.14,35.300455,1024.149792,37.54907165,0.356907883,4.28289459,0.95963194,11.51558327,14.533,0.294701341,0.302726191
Emerald,Ssid,26,1,Es5-1,3,control pH,control temp,control pH-control temp,21.7456,22.75,33.55391,1022.937316,33.40981318,21.8229,23.14,35.300455,1024.149792,33.54990688,0.14009371,1.681124514,0.419319045,5.03182854,10.797,0.155702928,0.163727778
MacN,Ssid,37,1,Ms1-1,3,control pH,control temp,control pH-control temp,18.4997,22.84,33.55391,1022.911707,28.42244966,18.8108,23.25,35.300455,1024.117872,28.91870551,0.496255852,5.955070219,1.74599958,20.95199496,8.7599,0.679810297,0.687835147
MacN,Ssid,38,1,Ms2-1,3,control pH,control temp,control pH-control temp,18.5923,22.84,33.55391,1022.911707,28.56471785,18.8308,23.25,35.300455,1024.117872,28.94945243,0.384734579,4.616814943,1.346887376,16.16264851,9.6085,0.480492787,0.488517637
MacN,Ssid,39,1,Ms3-1,3,control pH,control temp,control pH-control temp,18.5514,22.85,33.55391,1022.908857,28.50183758,18.6646,23.27,35.300455,1024.112058,28.69385801,0.192020426,2.304245113,0.673712442,8.084549309,13.825,0.166672341,0.174697191
MacN,Ssid,40,1,Ms4-1,3,control pH,control temp,control pH-control temp,19.45,22.85,33.55391,1022.908857,29.88242079,19.6446,23.25,35.300455,1024.117872,30.20054449,0.318123699,3.817484392,1.064584766,12.77501719,12.66,0.301539052,0.309563902
MacN,Ssid,41,1,Ms5-1,3,control pH,control temp,control pH-control temp,19.5918,22.86,33.55391,1022.906007,30.10023324,19.744,23.26,35.300455,1024.114965,30.35331037,0.25307713,3.036925554,0.840781291,10.08937549,9.2912,0.326860422,0.334885272
Rainbow,Ssid,27,1,Rs1-1,3,control pH,control temp,control pH-control temp,23.6648,22.76,33.55391,1022.934473,36.35840669,23.925,23.24,35.300455,1024.120778,36.78105579,0.422649096,5.071789152,1.162452193,13.94942632,9.4175,0.538549419,0.546574269
Rainbow,Ssid,28,1,Rs2-1,3,control pH,control temp,control pH-control temp,16.7865,22.77,33.55391,1022.93163,25.79060394,16.9265,23.18,35.300455,1024.138196,26.0221622,0.231558267,2.778699205,0.897839646,10.77407575,11.704,0.237414491,0.245439342
Rainbow,Ssid,29,1,Rs3-1,3,control pH,control temp,control pH-control temp,22.5068,22.78,33.55391,1022.928787,34.57916177,22.5075,23.24,35.300455,1024.120778,34.60186471,0.022702933,0.272435194,0.065654954,0.78785945,13.157,0.020706483,0.028731333
Rainbow,Ssid,30,1,Rs4-1,3,control pH,control temp,control pH-control temp,23.884,22.79,33.55391,1022.925942,36.69501963,24.0728,23.24,35.300455,1024.120778,37.00827585,0.313256216,3.759074595,0.85367502,10.24410024,12.479,0.301232037,0.309256888
Rainbow,Ssid,31,1,Rs5-1,3,control pH,control temp,control pH-control temp,19.5919,22.8,33.55391,1022.923097,30.10065661,19.8253,23.2,35.300455,1024.132393,30.47857511,0.377918495,4.535021939,1.255515784,15.06618941,15.677,0.289278685,0.297303535
