gene,Fish_kME
Ofaveolata001002,0.338729407201752
Ofaveolata001007,0.534048674307692
Ofaveolata001008,0
Ofaveolata001009,0
Ofaveolata001010,0
Ofaveolata001011,0.723604057375269
Ofaveolata001013,0
Ofaveolata001014,0.525379440716688
Ofaveolata001015,0.501366307680382
Ofaveolata001017,0
Ofaveolata001018,0
Ofaveolata001019,0
Ofaveolata001020,0.393673242750586
Ofaveolata001021,0
Ofaveolata001022,0
Ofaveolata001024,0
Ofaveolata001025,0.707990195674412
Ofaveolata001028,0
Ofaveolata001029,0
Ofaveolata001031,0
Ofaveolata001032,0
Ofaveolata001035,0.22190285617066
Ofaveolata001036,0.376705350812974
Ofaveolata001039,0
Ofaveolata001040,0
Ofaveolata001045,0
Ofaveolata001046,0
Ofaveolata001047,0
Ofaveolata001048,0
Ofaveolata001050,0
Ofaveolata001051,0
Ofaveolata001052,0
Ofaveolata001053,0
Ofaveolata001054,0
Ofaveolata001056,0
Ofaveolata001060,0.57022678187741
Ofaveolata001062,0.791080689674623
Ofaveolata001063,0.77372434740836
Ofaveolata001064,0
Ofaveolata001065,0
Ofaveolata001066,0
Ofaveolata001067,0
Ofaveolata001068,0
Ofaveolata001076,0
Ofaveolata001079,0
Ofaveolata001080,0
Ofaveolata001081,0
Ofaveolata001083,0
Ofaveolata001084,0
Ofaveolata001086,0
Ofaveolata001089,0.371182615374495
Ofaveolata001090,0
Ofaveolata001092,0
Ofaveolata001094,0
Ofaveolata001095,0.623448904816801
Ofaveolata001096,0
Ofaveolata001098,0
Ofaveolata001099,0
Ofaveolata001100,0
Ofaveolata001101,0
Ofaveolata001103,0.384203674753798
Ofaveolata001105,0
Ofaveolata001106,0
Ofaveolata001107,0
Ofaveolata001109,0
Ofaveolata001110,0
Ofaveolata001111,0.435666273719693
Ofaveolata001115,0
Ofaveolata001116,0
Ofaveolata001119,0
Ofaveolata001120,0
Ofaveolata001121,0
Ofaveolata001122,0
Ofaveolata001123,0
Ofaveolata001124,0
Ofaveolata001125,0
Ofaveolata001131,0
Ofaveolata001134,0
Ofaveolata001136,0
Ofaveolata001139,0
Ofaveolata001140,0
Ofaveolata001141,0
Ofaveolata001142,0
Ofaveolata001146,0
Ofaveolata001150,0
Ofaveolata001152,0
Ofaveolata001153,0
Ofaveolata001154,0.417164697880219
Ofaveolata001155,0.609027655865916
Ofaveolata001157,0
Ofaveolata001158,0
Ofaveolata001159,0
Ofaveolata001169,0
Ofaveolata001170,0
Ofaveolata001171,0
Ofaveolata001172,0
Ofaveolata001174,0
Ofaveolata001175,0
Ofaveolata001176,0
Ofaveolata001178,0
Ofaveolata001179,0
Ofaveolata001181,0
Ofaveolata001184,0
Ofaveolata001186,0
Ofaveolata001187,0
Ofaveolata001190,0
Ofaveolata001191,0
Ofaveolata001192,0
Ofaveolata001194,0
Ofaveolata001197,0
Ofaveolata001199,0
Ofaveolata001200,0
Ofaveolata001202,0
Ofaveolata001203,0
Ofaveolata001204,0
Ofaveolata001205,0
Ofaveolata001206,0
Ofaveolata001207,0
Ofaveolata001208,0
Ofaveolata001214,0
Ofaveolata001217,0
Ofaveolata001219,0
Ofaveolata001221,0
Ofaveolata001222,0
Ofaveolata001223,0
Ofaveolata001225,0.255661796733584
Ofaveolata001226,0
Ofaveolata001227,0.449251196771052
Ofaveolata001228,0
Ofaveolata001229,0
Ofaveolata001230,0
Ofaveolata001231,0
Ofaveolata001233,0.599732525181227
Ofaveolata001234,0
Ofaveolata001235,0
Ofaveolata001236,0
Ofaveolata001239,0
Ofaveolata001240,0
Ofaveolata001241,0
Ofaveolata001242,0.653698871332842
Ofaveolata001243,0
Ofaveolata001244,0
Ofaveolata001245,0
Ofaveolata001246,0
Ofaveolata001247,0
Ofaveolata001248,0
Ofaveolata001249,0.434165126373053
Ofaveolata001250,0
Ofaveolata001251,0
Ofaveolata001252,0
Ofaveolata001253,0.69521833202783
Ofaveolata001255,0.56487854977057
Ofaveolata001256,0
Ofaveolata001257,0
Ofaveolata001258,0.361334448349758
Ofaveolata001259,0
Ofaveolata001260,0
Ofaveolata001261,0
Ofaveolata001263,0
Ofaveolata001264,0
Ofaveolata001265,0.761934101613519
Ofaveolata001266,0
Ofaveolata001267,0
Ofaveolata001268,0
Ofaveolata001269,0
Ofaveolata001270,0
Ofaveolata001271,0
Ofaveolata001274,0
