"","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv.LH_CC"
"1580","Ssiderea048198",NA,6.23081749203787,"nucleotide-binding oligomerization domain containing 1 signaling pathway","Function Unknown",6.45129489083586
"1581","Ssiderea048203",NA,3.86875094973471,"protein homodimerization activity","Function Unknown",2.6370531824349
"1582","Ssiderea048360",NA,8.42274924076919,"Serpentine type 7TM GPCR chemoreceptor Srx","Function Unknown",7.28822248741565
"1583","Ssiderea048476",NA,1.3238376923943,"Alkaline ceramidase 3","Lipid transport and metabolism",2.22644114574306
"1584","Ssiderea048477",NA,-1.26102593853206,"pre-replicative complex assembly involved in nuclear cell cycle DNA replication","Replication, recombination and repair",-2.60444318504656
"1585","Ssiderea048486",NA,2.19810661811223,NA,NA,2.54166814961938
"1586","Ssiderea048494",NA,2.44982522770992,"Translin-associated factor X-interacting N-terminus","Intracellular trafficking, secretion, and vesicular transport",2.70674949986708
"1587","Ssiderea048495",NA,1.88614212143576,"DnaJ molecular chaperone homology domain","Posttranslational modification, protein turnover, chaperones",1.71260354183913
"1588","Ssiderea048511",NA,-1.91226115399062,"TMEM164 family","Function Unknown",-2.50764991223421
"1589","Ssiderea048518",NA,6.5045741790106,"thiosulfate sulfurtransferase activity","Inorganic ion transport and metabolism",5.72481357039328
"1590","Ssiderea048519",NA,1.28824918303988,"thiosulfate sulfurtransferase activity","Inorganic ion transport and metabolism",1.33313398538704
"1591","Ssiderea048555",NA,3.8070696312128,"Receptor-like tyrosine kinase","Signal transduction mechanisms",1.79667672709244
"1592","Ssiderea048575",NA,1.48969389131513,"Protein tyrosine kinase","Signal transduction mechanisms",1.7603544251051
"1593","Ssiderea048793",NA,-1.98325397065186,"Solute carrier family 35","Carbohydrate transport and metabolism",-1.54502840976995
"1594","Ssiderea048803",NA,2.67218772109383,NA,NA,2.36917235773483
"1595","Ssiderea048856",NA,2.90750752995799,"Putative ephrin-receptor like","Signal transduction mechanisms",3.67355483143531
"1596","Ssiderea048861",NA,-3.45989507340981,NA,NA,-4.13608433320038
"1597","Ssiderea048936",NA,-3.8330586741302,"chromatin remodeling","Transcription",-2.58678693998074
"1598","Ssiderea049064",NA,-2.21183654233631,"Glutathione S-transferase, N-terminal domain","Posttranslational modification, protein turnover, chaperones",-6.62246299371662
"1599","Ssiderea049112",NA,1.38924661894596,NA,NA,2.96718690852737
"1600","Ssiderea049169",NA,-1.71863220829289,"translation","Translation, ribosomal structure and biogenesis",-2.57803701460762
"1601","Ssiderea049211",NA,-1.01061489557095,"Involved in intracellular signal transduction mediated by cytokines and growth factors. When associated with STAM, it suppresses DNA signaling upon stimulation by IL-2 and GM-CSF. Could be a direct effector of PI3-kinase in vesicular pathway via early endosomes and may regulate trafficking to early and late endosomes by recruiting clathrin. May concentrate ubiquitinated receptors within clathrin-coated regions. Involved in down- regulation of receptor tyrosine kinase via multivesicular body (MVBs) when complexed with STAM (ESCRT-0 complex). The ESCRT-0 complex binds ubiquitin and acts as sorting machinery that recognizes ubiquitinated receptors and transfers them to further sequential lysosomal sorting trafficking processes. May contribute to the efficient recruitment of SMADs to the activin receptor complex. Involved in receptor recycling via its association with the CART complex, a multiprotein complex required for efficient transferrin receptor recycling but not for EGFR degradation","",-1.24745170618248
"1602","Ssiderea049272",NA,2.33265303640761,"WD domain, G-beta repeat","Posttranslational modification, protein turnover, chaperones",1.26384920779479
"1603","Ssiderea049379",NA,1.23459017042559,"ubiquitin conjugating enzyme binding","Posttranslational modification, protein turnover, chaperones",1.22488978858784
"1604","Ssiderea049392",NA,-1.15194997347631,"Belongs to the peptidase C14A family","Cell cycle control, cell division, chromosome partitioning",-1.24854668186641
"1605","Ssiderea049434",NA,-5.93896326935598,"respiratory chain complex III assembly","Energy production and conversion",-12.2133711518994
"1606","Ssiderea049437",NA,5.87131267292376,NA,NA,7.29197498777764
"1607","Ssiderea049458",NA,1.57490667391626,"peptidyl-prolyl cis-trans isomerase activity","Posttranslational modification, protein turnover, chaperones",1.15586666749343
"1608","Ssiderea049473",NA,-1.38560186503087,"Sulfotransferase family","Posttranslational modification, protein turnover, chaperones",-1.13440264517169
"1609","Ssiderea049480",NA,-5.07331526643715,"Belongs to the short-chain dehydrogenases reductases (SDR) family","Secondary metabolites biosynthesis, transport and catabolism",-6.44865524588843
"1610","Ssiderea049489",NA,2.58759014539517,"enhancer sequence-specific DNA binding","Function Unknown",3.69436078961761
"1611","Ssiderea049588",NA,1.85883209349922,"tryptophan 5-monooxygenase activity","Amino acid transport and metabolism",2.0900383470068
"1612","Ssiderea049612",NA,-3.73576730831361,"Belongs to the cyclin family","Cell cycle control, cell division, chromosome partitioning",-4.15136834968358
"1613","Ssiderea049615",NA,-1.55632846104789,"Zinc finger protein 593","RNA processing and modification",-2.59355156878155
"1614","Ssiderea049620",NA,1.06064576914866,NA,NA,1.30510686553312
"1615","Ssiderea049646",NA,2.23038804115652,NA,NA,1.51552305568958
"1616","Ssiderea049730",NA,-2.26713726468827,"copper ion homeostasis","Inorganic ion transport and metabolism",-1.00334429344765
"1617","Ssiderea049747",NA,1.32138977098031,NA,NA,1.17031089610293
"1618","Ssiderea049766",NA,2.4240983986213,"Phosphatidylethanolamine-binding protein","Transcription",2.27432986881024
"1619","Ssiderea050017",NA,-3.19394051587168,NA,NA,-3.88025506862445
"1620","Ssiderea050025",NA,-1.94392258861708,"SMG6 nonsense mediated mRNA decay factor","RNA processing and modification",-3.07177788701372
"1621","Ssiderea050054",NA,7.99267123671398,"Macrophage migration inhibitory","Defense mechanisms",7.8052210469656
"1622","Ssiderea050105",NA,4.643708708001,NA,NA,6.88274253777745
"1623","Ssiderea050180",NA,1.07090218910189,NA,NA,1.74387198749264
"1624","Ssiderea050181",NA,1.41092460007097,"cullin family protein binding","Function Unknown",1.57578999104661
"1625","Ssiderea050215",NA,-4.10669462081575,NA,NA,-3.26317783740955
"1626","Ssiderea050310",NA,-1.48173145948867,NA,NA,-1.41115853043838
"1627","Ssiderea050429",NA,3.99101321817163,NA,NA,6.47538567354346
"1628","Ssiderea050433",NA,-2.57588625047437,"F-box LRR-repeat protein","Chromatin structure and dynamics",-3.62269178800367
"1629","Ssiderea050440",NA,-1.35393348575179,"major facilitator superfamily","Carbohydrate transport and metabolism",-2.52470677546778
"1630","Ssiderea050441",NA,-3.17569951680627,NA,NA,-1.69912450440417
"1631","Ssiderea050453",NA,-1.54731243359583,"Belongs to the universal ribosomal protein uL1 family","Translation, ribosomal structure and biogenesis",-2.26123055054051
"1632","Ssiderea050455",NA,5.423047706035,"PRELI domain-containing protein 2","Function Unknown",2.76596378254567
"1633","Ssiderea050458",NA,-2.16612970380406,NA,NA,-1.456581377966
"1634","Ssiderea050459",NA,-1.30789747079013,NA,NA,-1.26140396012041
"1635","Ssiderea050555",NA,-1.47930657453914,"Sodium:neurotransmitter symporter family","Signal transduction mechanisms",-2.76498057206661
"1636","Ssiderea050758",NA,1.04893300073272,NA,NA,1.49889124753677
"1637","Ssiderea050779",NA,1.31594672550132,NA,NA,1.37258330873557
"1638","Ssiderea050788",NA,19.0133515367939,NA,NA,9.6768982343421
"1639","Ssiderea050800",NA,3.11333904821271,"regulation of copper ion transmembrane transport","Inorganic ion transport and metabolism",5.27636967846836
