"row_label","comparison","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"Urban Sites vs Emerald Reef_34","Urban Sites vs Emerald Reef","Ssiderea60521",-3.16656437118743,-1.11893980749548,NA,NA,-3.16656437118743,-1.11893980749548,"Direct",3.16656437118743,1.11893980749548,2.04762456369196,0.000681452562248981,0.0760431664221068,111.589816569393,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_35","Urban Sites vs Emerald Reef","Ssiderea61903",1.04735812108557,3.86798359334126,NA,NA,1.04735812108557,3.86798359334126,"Direct",1.04735812108557,3.86798359334126,2.82062547225569,0.0896689075911457,0.000135524060929488,661.645666283564,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Rainbow Reef_6","Urban Sites vs Rainbow Reef","Ssiderea006718",NA,NA,NA,NA,3.86004270460415,1.24478398659617,"Direct",3.86004270460415,1.24478398659617,2.61525871800798,0.000138024853673182,0.0569135942550462,412.343087063198,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","discordant","Direct (discordant significance)","Star Island vs Rainbow Reef >> MacArthur North vs Rainbow Reef",2,2,1.3,100,3.86004270460415,1.24478398659617
"Urban Sites vs Rainbow Reef_7","Urban Sites vs Rainbow Reef","Ssiderea012406",NA,NA,NA,NA,-1.05556037765084,-4.56295316277805,"Direct",1.05556037765084,4.56295316277805,3.50739278512721,0.0879912773592814,2.73556373188992e-05,3216.56835604012,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","discordant","Direct (discordant significance)","MacArthur North vs Rainbow Reef >> Star Island vs Rainbow Reef",2,2,1.3,100,-1.05556037765084,-4.56295316277805
"Urban Sites vs Rainbow Reef_8","Urban Sites vs Rainbow Reef","Ssiderea021983",NA,NA,NA,NA,-4.94554226248839,-1.27814762074393,"Direct",4.94554226248839,1.27814762074393,3.66739464174446,1.1335945192818e-05,0.0527050681531015,4649.37570327115,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","discordant","Direct (discordant significance)","Star Island vs Rainbow Reef >> MacArthur North vs Rainbow Reef",2,2,1.3,100,-4.94554226248839,-1.27814762074393
"Urban Sites vs Rainbow Reef_9","Urban Sites vs Rainbow Reef","Ssiderea024229",NA,NA,NA,NA,-4.30509392105304,-1.28178258976343,"Direct",4.30509392105304,1.28178258976343,3.02331133128961,4.95343055728738e-05,0.0522657768909688,1055.14302232574,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","discordant","Direct (discordant significance)","Star Island vs Rainbow Reef >> MacArthur North vs Rainbow Reef",2,2,1.3,100,-4.30509392105304,-1.28178258976343
"Urban Sites vs Rainbow Reef_10","Urban Sites vs Rainbow Reef","Ssiderea024230",NA,NA,NA,NA,-5.67306983595114,-1.28168568146079,"Direct",5.67306983595114,1.28168568146079,4.39138415449035,2.12290306490339e-06,0.0522774407574867,24625.4488119389,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","discordant","Direct (discordant significance)","Star Island vs Rainbow Reef >> MacArthur North vs Rainbow Reef",2,2,1.3,100,-5.67306983595114,-1.28168568146079
"Urban Sites vs Rainbow Reef_11","Urban Sites vs Rainbow Reef","Ssiderea024813",NA,NA,"glycine amidinotransferase","Amino acid transport and metabolism",-4.03079189810592,-1.24977206798024,"Direct",4.03079189810592,1.24977206798024,2.78101983012568,9.31554143498985e-05,0.0562636537864361,603.976206633634,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","discordant","Direct (discordant significance)","Star Island vs Rainbow Reef >> MacArthur North vs Rainbow Reef",2,2,1.3,100,-4.03079189810592,-1.24977206798024
"Urban Sites vs Rainbow Reef_12","Urban Sites vs Rainbow Reef","Ssiderea033082",NA,NA,"homophilic cell adhesion via plasma membrane adhesion molecules","Carbohydrate transport and metabolism",-5.39062281864567,-1.05189530108983,"Direct",5.39062281864567,1.05189530108983,4.33872751755584,4.06796475341783e-06,0.0887369911750179,21813.6086603166,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","discordant","Direct (discordant significance)","Star Island vs Rainbow Reef >> MacArthur North vs Rainbow Reef",2,2,1.3,100,-5.39062281864567,-1.05189530108983
"Urban Sites vs Rainbow Reef_13","Urban Sites vs Rainbow Reef","Ssiderea038540",NA,NA,NA,NA,-8.49838985092485,-1.04194808310838,"Direct",8.49838985092485,1.04194808310838,7.45644176781647,3.17402358179908e-09,0.0907929060309826,28604987.8619743,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","discordant","Direct (discordant significance)","Star Island vs Rainbow Reef >> MacArthur North vs Rainbow Reef",2,2,1.3,100,-8.49838985092485,-1.04194808310838
