"row_label","comparison","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.LH_CC"
"OA+Bleaching vs OA_11","OA+Bleaching vs OA","Ssiderea010957",1.19296760056757,NA,"ribosomal protein","Translation, ribosomal structure and biogenesis",1.19296760056757,-1.60610099074527,"Inverse",1.19296760056757,1.60610099074527,0.413133390177694,0.0641257414175001,0.0247684602541949,2.58900798674554,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.60610099074527
"OA+Bleaching vs OA_12","OA+Bleaching vs OA","Ssiderea012793",1.09688988780385,NA,"positive regulation of Golgi to plasma membrane protein transport","Signal transduction mechanisms",1.09688988780385,-1.65229347076672,"Inverse",1.09688988780385,1.65229347076672,0.555403582962864,0.0800037072855125,0.0222692981202113,3.59255630122003,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.65229347076672
"OA+Bleaching vs OA_13","OA+Bleaching vs OA","Ssiderea013791",1.18438605044372,NA,"regulation of mitotic cell cycle","Posttranslational modification, protein turnover, chaperones",1.18438605044372,-1.63256998858678,"Inverse",1.18438605044372,1.63256998858678,0.448183938143054,0.0654054517368988,0.0233039753055947,2.80662208396679,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.63256998858678
"OA+Bleaching vs OA_14","OA+Bleaching vs OA","Ssiderea014540",1.17323138528773,NA,"RNA-binding protein Musashi homolog","RNA processing and modification",1.17323138528773,-5.4200744658999,"Inverse",1.17323138528773,5.4200744658999,4.24684308061217,0.0671071221443653,3.80124213087348e-06,17653.9983073756,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-5.4200744658999
"OA+Bleaching vs OA_15","OA+Bleaching vs OA","Ssiderea015151",1.12870377515916,NA,"serine arginine-rich splicing factor","RNA processing and modification",1.12870377515916,-2.45458077184574,"Inverse",1.12870377515916,2.45458077184574,1.32587699668658,0.0743526111426362,0.00351090621188872,21.1776124610967,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.45458077184574
"OA+Bleaching vs OA_16","OA+Bleaching vs OA","Ssiderea015272",1.46781205730669,NA,"protein-cysteine S-acyltransferase activity","Function Unknown",1.46781205730669,-2.59255506704473,"Inverse",1.46781205730669,2.59255506704473,1.12474300973804,0.0340555534601439,0.00255531787501502,13.3273256502163,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.59255506704473
"OA+Bleaching vs OA_17","OA+Bleaching vs OA","Ssiderea015602",1.31255293980622,NA,"translational elongation","Translation, ribosomal structure and biogenesis",1.31255293980622,-3.31255953063169,"Inverse",1.31255293980622,3.31255953063169,2.00000659082547,0.0486908168217322,0.000486900778985964,100.001517605163,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-3.31255953063169
"OA+Bleaching vs OA_18","OA+Bleaching vs OA","Ssiderea016156",1.02053870522042,NA,"Belongs to the eukaryotic ribosomal protein eS4 family","Translation, ribosomal structure and biogenesis",1.02053870522042,-1.25321135573117,"Inverse",1.02053870522042,1.25321135573117,0.232672650510752,0.0953808733650915,0.0558198473211495,1.70872687659525,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.25321135573117
"OA+Bleaching vs OA_19","OA+Bleaching vs OA","Ssiderea016380",1.1155167787832,NA,"ligase 1","Chromatin structure and dynamics",1.1155167787832,-1.17201950384356,"Inverse",1.1155167787832,1.17201950384356,0.0565027250603569,0.0766448928161146,0.0672946434079701,1.13894492837207,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.17201950384356
"OA+Bleaching vs OA_20","OA+Bleaching vs OA","Ssiderea018648",1.27844721149116,NA,"ribosomal small subunit assembly","Translation, ribosomal structure and biogenesis",1.27844721149116,-1.7603544251051,"Inverse",1.27844721149116,1.7603544251051,0.481907213613937,0.0526687229853755,0.0173638319852153,3.0332430669809,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.7603544251051
"OA+Bleaching vs OA_21","OA+Bleaching vs OA","Ssiderea019064",1.06178142615619,NA,"long-chain-acyl-CoA dehydrogenase activity","Lipid transport and metabolism",1.06178142615619,-2.14988845327132,"Inverse",1.06178142615619,2.14988845327132,1.08810702711512,0.0867398314374288,0.0070812764066352,12.2491802969523,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.14988845327132
"OA+Bleaching vs OA_22","OA+Bleaching vs OA","Ssiderea019445",1.09051536917133,NA,"structural constituent of ribosome","Translation, ribosomal structure and biogenesis",1.09051536917133,-1.07890739594202,"Inverse",1.09051536917133,1.07890739594202,0.0116079732293164,0.0811866517425343,0.0833858968348032,1.02708875221561,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.07890739594202
"OA+Bleaching vs OA_23","OA+Bleaching vs OA","Ssiderea022140",1.4017134040197,NA,"Phosphoethanolamine","Lipid transport and metabolism",1.4017134040197,-2.54166814961938,"Inverse",1.4017134040197,2.54166814961938,1.13995474559969,0.0396539629044962,0.00287297502320509,13.8024043314718,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.54166814961938
