"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"1290","Ofaveolata015532",NA,NA,"ATPase activity, coupled to transmembrane movement of substances","Secondary metabolites biosynthesis, transport and catabolism",-1.26184137009946,-1.45319743767525
"1291","Ofaveolata015558",NA,NA,"3-hydroxyisobutyrate dehydrogenase activity","Lipid transport and metabolism",-1.50304716993381,-1.35988961912435
"1292","Ofaveolata015576",NA,NA,"myosin light chain kinase activity","Signal transduction mechanisms",-1.88047754012755,-2.58876169545136
"1293","Ofaveolata015588",NA,NA,NA,NA,1.01708938916319,1.49081968374082
"1294","Ofaveolata015617",NA,NA,NA,NA,3.0423036901894,3.8670213084261
"1295","Ofaveolata015635",NA,NA,"PMS1 postmeiotic segregation increased 1 (S. cerevisiae)","Replication, recombination and repair",-1.34076860970829,-1.82329474581456
"1296","Ofaveolata015636",NA,NA,"Ankyrin repeat and zinc finger","RNA processing and modification",-2.85402585481431,-2.60853483481698
"1297","Ofaveolata015638",NA,NA,"beta-galactosidase activity","Carbohydrate transport and metabolism",2.23801828082247,1.01464034654988
"1298","Ofaveolata015639",NA,NA,NA,NA,1.95390351318394,4.87974698893156
"1299","Ofaveolata015668",NA,NA,"gamma-aminobutyric acid:sodium symporter activity","Signal transduction mechanisms",1.09884931716678,2.93994034398246
"1300","Ofaveolata015698",NA,NA,NA,NA,-1.00645701925487,-1.34676296558423
"1301","Ofaveolata015708",NA,NA,NA,NA,1.63843008796506,2.09684141377053
"1302","Ofaveolata015716",NA,NA,NA,NA,-1.1673297098517,-1.34398725860417
"1303","Ofaveolata015719",NA,NA,"FAM124 family",NA,-2.97442146834337,-5.71760389065722
"1304","Ofaveolata015720",NA,NA,"creatine kinase activity","Energy production and conversion",-1.41801734971333,-3.68562017885823
"1305","Ofaveolata015742",NA,NA,NA,NA,-1.0653668673284,-1.90510391495756
"1306","Ofaveolata015754",NA,NA,NA,NA,-4.34095490521534,-8.93940065948739
"1307","Ofaveolata015759",NA,NA,"inner cell mass cell proliferation",NA,-1.30384489951139,-4.9273421632628
"1308","Ofaveolata015769",NA,NA,NA,NA,-1.67574056428002,-10.1649664897784
"1309","Ofaveolata015777",NA,NA,NA,NA,1.58566387497854,2.9022659226803
"1310","Ofaveolata015800",NA,NA,NA,NA,1.42381737201436,1.52576198503316
"1311","Ofaveolata015818",NA,NA,"helix loop helix domain","Transcription",1.24342819949109,1.44650999322741
"1312","Ofaveolata015820",NA,NA,NA,NA,-1.31552698551899,-1.95257265011872
"1313","Ofaveolata015857",NA,NA,NA,NA,2.23364974482043,14.0127045432014
"1314","Ofaveolata015858",NA,NA,NA,NA,1.40884401028259,9.61883070661007
"1315","Ofaveolata015905",NA,NA,NA,NA,2.53600342827721,1.6265725340762
"1316","Ofaveolata016002",NA,NA,"sodium-dependent L-ascorbate transmembrane transporter activity","Nucleotide transport and metabolism",1.25443608928175,4.63984718620197
"1317","Ofaveolata016009",NA,NA,"sodium-dependent L-ascorbate transmembrane transporter activity","Nucleotide transport and metabolism",1.64238100109376,4.06829514708621
"1318","Ofaveolata016011",NA,NA,"sodium-dependent L-ascorbate transmembrane transporter activity","Nucleotide transport and metabolism",-1.66467149285656,-1.8074534525388
"1319","Ofaveolata016020",NA,NA,"Universal stress protein family","Signal transduction mechanisms",-1.00058410187059,-2.52515393599139
"1320","Ofaveolata016123",NA,NA,NA,NA,1.34839454022503,3.90052549989963
"1321","Ofaveolata016127",NA,NA,NA,NA,1.34678149311727,1.99717786990096
"1322","Ofaveolata016136",NA,NA,"sodium-dependent L-ascorbate transmembrane transporter activity","Nucleotide transport and metabolism",1.26494426609128,2.4835696124083
"1323","Ofaveolata016248",NA,NA,"Ventral anterior homeobox 2","Transcription",1.74225026996582,3.17588467980054
"1324","Ofaveolata016270",NA,NA,NA,NA,-3.37791853812996,-1.91755254587201
