"","comparison","gene","lpv.Star_Emerald","lpv.MacN_Emerald","lpv.Star_Rainbow","lpv.MacN_Rainbow","annot","KOG"
"116","urban_reef","Ofaveolata020872",-1.08528207952214,-1.71701873517384,-1.27831283758292,-1.80333278261536,NA,NA
"117","urban_reef","Ofaveolata021270",7.0711388225666,20.0785759221242,15.1661451013464,29.2011735959405,NA,NA
"118","urban_reef","Ofaveolata021328",1.56130721180909,2.15595164778219,1.26114011500181,1.63391094047979,"Belongs to the CD36 family","Signal transduction mechanisms"
"119","urban_reef","Ofaveolata021347",-1.38522797232546,-3.61415474129812,-1.20511884190906,-2.93940423827062,NA,NA
"120","urban_reef","Ofaveolata021516",-1.78442489544802,-2.32043490524757,-2.16947889525999,-2.60513485677647,"glucuronosyltransferase activity","Carbohydrate transport and metabolism"
"121","urban_reef","Ofaveolata021813",-1.96030677187947,-3.01616703992106,-2.36203128163938,-3.31133297863311,NA,NA
"122","urban_reef","Ofaveolata021924",-5.88341948358695,-2.98731720402487,-3.05551584225274,-1.19075424179894,"Kinesin family","Cytoskeleton"
"123","urban_reef","Ofaveolata022113",1.97220367268779,2.09125711265848,-1.5811721339079,-3.01259934180253,NA,NA
"124","urban_reef","Ofaveolata022129",-1.57329963190573,-2.41918596509291,-1.49195339907754,-2.12253383423997,"fibroblast growth factor-activated receptor activity","Signal transduction mechanisms"
"125","urban_reef","Ofaveolata022131",-1.96682165863433,-4.55497195165974,-2.12692624450738,-4.36708524044357,NA,NA
"126","urban_reef","Ofaveolata022246",-1.8037936293196,-2.0820423235045,-4.84396886867224,-5.3574741493177,NA,NA
"127","urban_reef","Ofaveolata022268",2.13683197173131,2.78967064409096,3.29875970060508,4.01471237222652,NA,NA
"128","urban_reef","Ofaveolata022550",-5.99976743864277,-8.26102875408914,-3.03050804889489,-4.24296667233852,NA,NA
"129","urban_reef","Ofaveolata022626",1.74144453274694,3.12013367619979,1.15451068832814,2.01558406917414,NA,NA
"130","urban_reef","Ofaveolata023025",-1.30096852298361,-2.03900995304707,-4.08358564993705,-5.41148185770034,NA,NA
"131","urban_reef","Ofaveolata023203",1.28834604806727,1.87633237867632,1.19144568500434,1.60634011719535,"ribosomal protein S23","Translation, ribosomal structure and biogenesis"
"132","urban_reef","Ofaveolata023221",1.21487182301333,4.85492531200282,1.2509085552993,4.32890888257779,"Transfers N-acetylgalactosamine (GalNAc) from UDP-GalNAc to N-acetylglucosamine-beta-benzyl with a beta-1,4-linkage to form N,N'-diacetyllactosediamine, GalNAc-beta-1,4-GlcNAc structures in N-linked glycans and probably O-linked glycans","Carbohydrate transport and metabolism"
"133","urban_reef","Ofaveolata023493",2.09940042930865,2.70628267973677,4.45454111823106,5.35353141802559,NA,NA
